time,number_of_rows
2020-11-04 11:40:00,2201
2020-11-04 14:26:40,2348
2020-11-05 12:40:00,1235
2020-11-06 10:53:20,432
2020-11-24 15:00:00,4
2020-11-27 15:13:20,1088
2021-01-14 13:13:20,14230
2021-01-14 16:00:00,17546
2021-01-14 18:46:40,17426
2021-01-14 21:33:20,17417
2021-01-15 00:20:00,17428
2021-01-15 03:06:40,12502
2021-02-12 14:26:40,1370
2021-05-25 10:53:20,13808
2021-05-25 13:40:00,17415
2021-05-25 16:26:40,17402
2021-05-25 19:13:20,17368
2021-05-25 22:00:00,17361
2021-05-26 00:46:40,16535
2021-05-26 03:33:20,13402
2021-05-26 06:20:00,17317
2021-05-26 09:06:40,17345
2021-05-26 11:53:20,17344
2021-05-26 14:40:00,17349
2021-05-26 17:26:40,17413
2021-05-26 20:13:20,17392
2021-05-26 23:00:00,17386
2021-05-27 01:46:40,10286
2021-05-27 04:33:20,16691
2021-05-27 07:20:00,17353
2021-05-27 10:06:40,12786
2021-05-28 08:20:00,107
2021-05-31 08:33:20,5748
2021-05-31 11:20:00,6269
2021-05-31 14:06:40,6267
2021-05-31 16:53:20,6348
2021-05-31 19:40:00,6288
2021-05-31 22:26:40,6289
2021-06-01 01:13:20,4967
2021-06-01 04:00:00,3267
2021-06-01 06:46:40,6278
2021-06-01 09:33:20,9266
2021-06-01 12:20:00,17121
2021-06-01 15:06:40,17358
2021-06-01 17:53:20,17380
2021-06-01 20:40:00,9308
2021-10-21 12:40:00,50
2021-10-21 15:26:40,2908
2021-10-27 07:33:20,1626
2021-12-02 13:00:00,360
2021-12-06 08:40:00,5248
2021-12-06 11:26:40,11306
2021-12-06 14:13:20,11472
2021-12-06 17:00:00,11305
2021-12-06 19:46:40,11335
2021-12-06 22:33:20,11305
2021-12-07 01:20:00,11303
2021-12-07 04:06:40,1219
2021-12-07 06:53:20,11110
2021-12-07 09:40:00,11308
2021-12-07 12:26:40,11471
2021-12-07 15:13:20,11298
2021-12-07 18:00:00,11292
2021-12-07 20:46:40,11294
2021-12-07 23:33:20,11308
2021-12-08 02:20:00,8449
2021-12-08 05:06:40,3203
2021-12-08 07:53:20,11230
2021-12-08 10:40:00,11441
2021-12-08 13:26:40,2292
2021-12-08 16:13:20,8262
2021-12-09 11:40:00,7116
2021-12-10 07:06:40,796
2021-12-10 09:53:20,10553
2021-12-10 12:40:00,3580
2022-01-12 15:06:40,3524
2022-02-18 07:40:00,2649
2022-02-18 10:26:40,1070
2022-02-28 09:20:00,5
2022-03-02 14:06:40,44
2022-03-02 16:53:20,206
2022-03-03 09:33:20,120
2022-03-04 13:20:00,11435
2022-03-04 16:06:40,11599
2022-03-04 18:53:20,11620
2022-03-04 21:40:00,11580
2022-03-05 00:26:40,11582
2022-03-05 03:13:20,4971
2022-03-05 06:00:00,5565
2022-03-05 08:46:40,11581
2022-03-05 11:33:20,11728
2022-03-05 14:20:00,11582
2022-03-05 17:06:40,11579
2022-03-05 19:53:20,11579
2022-03-05 22:40:00,11543
2022-03-06 01:26:40,11557
2022-03-06 04:13:20,804
2022-03-06 07:00:00,8886
2022-03-06 09:46:40,11703
2022-03-06 12:33:20,11567
2022-03-06 15:20:00,11583
2022-03-06 18:06:40,11578
2022-03-06 20:53:20,11580
2022-03-06 23:40:00,11584
2022-03-07 02:26:40,8223
2022-03-07 05:13:20,369
2022-03-07 08:00:00,11711
2022-03-07 10:46:40,11568
2022-03-07 13:33:20,11465
2022-03-09 10:00:00,268
2022-03-09 12:46:40,9561
2022-03-09 15:33:20,11256
2022-03-09 18:20:00,11299
2022-03-09 21:06:40,11180
2022-03-09 23:53:20,11161
2022-03-10 02:40:00,7091
2022-03-10 05:26:40,58
2022-03-10 08:13:20,11196
2022-03-10 11:00:00,11176
2022-03-10 13:46:40,11196
2022-03-10 16:33:20,11169
2022-03-10 19:20:00,11196
2022-03-10 22:06:40,11178
2022-03-11 00:53:20,11326
2022-03-11 03:40:00,2927
2022-03-11 06:26:40,3206
2022-03-11 09:13:20,11064
2022-03-11 12:00:00,11502
2022-03-11 14:46:40,6405
2022-03-15 07:40:00,83
2022-03-15 13:13:20,620
2022-03-22 14:40:00,5674
2022-03-22 17:26:40,11369
2022-03-22 20:13:20,201
2022-03-23 10:06:40,3495
2022-03-23 12:53:20,13254
2022-03-23 18:26:40,210
2022-03-28 09:33:20,214
