ID,Schadensklasse,Mittelwert_x,Mittelwert_y,Mittelwert_z,Variance_x,Variance_y,Variance_z,Effektivwert_x,Effektivwert_y,Effektivwert_z,Standardabweichung_x,Standardabweichung_y,Standardabweichung_z,Woehlbung_x,Woehlbung_y,Woehlbung_z,Schiefe_x,Schiefe_y,Schiefe_z,Mittlere_Absolute_Abweichung_x,Mittlere_Absolute_Abweichung_y,Mittlere_Absolute_Abweichung_z,Zentrales_Moment_x,Zentrales_Moment_y,Zentrales_Moment_z,Median_x,Median_y,Median_z,Timestamp
1,2,569.6,-547.072,15889.7,108005.0,26911.8,220962,657.526,571.115,15896.6,328.477,163.966,469.831,0.116738,0.847053,0.458805,0.0664177,-0.326636,0.112825,256.806,117.401,350.131,0,0,0,512,-512,15872,1604490000
2,2,545.792,-545.28,15879.7,96078.5,29592.9,235057,627.592,571.746,15887.1,309.81,171.94,484.584,0.573283,0.759368,0.323874,0.24358,-0.336244,0.175377,233.196,122.691,363.095,0,0,0,512,-512,15872,1604490000
3,2,565.248,-544.512,15885.8,105404.0,24460.9,256573,651.77,566.507,15893.9,324.498,156.322,506.277,-0.0423208,0.222353,0.121614,-0.0616709,-0.109307,-0.285175,261.509,111.817,395.262,0,0,0,512,-512,15872,1604490000
4,2,566.784,-541.44,15920.1,106026.0,30555.6,241982,653.578,568.931,15927.7,325.453,174.714,491.67,-0.243692,0.805106,-0.0218226,-0.0318314,-0.00247498,-0.269755,262.385,123.62,389.71,0,0,0,512,-512,15872,1604490000
5,2,567.04,-563.456,15917.1,115510.0,26411.1,268509,661.006,586.402,15925.5,339.697,162.434,517.919,-0.378181,-0.129343,0.106168,-0.0875853,0.00739003,-0.296904,278.083,128.562,414.196,0,0,0,512,-512,15872,1604490000
6,2,592.128,-553.728,15913.0,108310.0,24300.9,239210,677.361,575.232,15920.5,328.941,155.809,488.846,-0.444367,-0.0248636,0.283575,-0.00659097,-0.00677958,-0.317732,273.231,117.838,384.819,0,0,0,512,-512,15872,1604490000
7,2,556.032,-551.424,15918.3,108401.0,27177.7,254025,646.115,575.516,15926.3,329.079,164.774,503.757,0.0167839,0.202204,0.249018,-0.00646626,0.018944,-0.441161,261.184,122.937,403.884,0,0,0,512,-512,15872,1604490000
8,2,581.888,-554.496,15912.7,96071.6,26663.4,246906,659.219,578.016,15920.5,309.799,163.208,496.648,-0.24654,0.204263,0.364054,-0.0365348,0.0423873,-0.434187,251.987,123.316,396.728,0,0,0,512,-512,15872,1604490000
9,2,574.208,-565.248,15940.9,97218.4,25239.3,230041,653.327,587.128,15948.1,311.643,158.789,479.386,-0.227683,-0.233606,0.509566,0.00682284,-0.00387958,-0.440464,253.228,126.857,381.891,0,0,0,512,-512,15872,1604490000
10,2,550.656,-558.08,15899.1,100646.0,25952.0,229656,635.427,580.844,15906.3,317.089,161.016,478.984,-0.269142,0.172754,0.0622387,-0.0986344,0.0138896,-0.2135,254.366,123.423,380.258,0,0,0,512,-512,15872,1604490000
11,2,592.128,-559.616,15873.3,114477.0,25151.9,252368,681.893,581.633,15881.2,338.175,158.514,502.111,-0.204544,0.377393,0.519959,-0.125044,0.0184256,-0.438775,279.531,121.303,389.079,0,0,0,512,-512,15872,1604490000
12,2,568.064,-559.616,15879.7,115921.0,25939.1,223642,662.194,582.309,15886.7,340.301,160.976,472.672,-0.367592,0.0397716,0.21298,-0.0657527,-0.14853,-0.240345,281.752,124.185,369.449,0,0,0,512,-512,15872,1604490000
13,2,585.728,-561.152,15893.5,103326.0,24740.7,252890,668.057,582.759,15901.5,321.283,157.213,502.631,-0.237838,0.138469,0.358592,-0.0145374,-0.01594,-0.391613,264.569,121.999,393.37,0,0,0,512,-512,15872,1604490000
14,2,576.0,-551.424,15889.7,113196.0,26390.5,250220,666.977,574.833,15897.5,336.277,162.37,499.97,-0.122011,0.0548314,0.0977621,0.0142284,0.115647,-0.306189,271.744,122.11,396.792,0,0,0,512,-512,15872,1604490000
15,2,560.64,-562.432,15919.9,114927.0,25466.0,245090,655.08,584.611,15927.6,338.84,159.501,494.818,-0.167241,0.0558322,-0.0682278,-0.144662,0.0912348,-0.140619,273.485,125.179,402.422,0,0,0,512,-512,15872,1604490000
16,2,602.88,-562.688,15915.5,112243.0,26817.7,249358,689.634,586.011,15923.3,334.859,163.679,499.108,-0.237179,0.266853,0.0482029,0.0375656,0.0175505,-0.254693,275.981,127.278,399.355,0,0,0,512,-512,15872,1604490000
17,2,588.032,-559.36,15905.3,102784.0,27472.3,244897,669.674,583.377,15913.0,320.439,165.665,494.624,-0.412305,-0.119221,0.133531,-0.062824,-0.0230562,-0.19245,266.596,129.147,393.958,0,0,0,512,-512,15872,1604490000
18,2,569.344,-553.728,15878.7,109806.0,26531.3,252522,658.672,577.165,15886.6,331.203,162.803,502.264,-0.325801,0.0320143,-0.138223,-0.0859138,-0.0112851,-0.230959,270.18,123.315,401.316,0,0,0,512,-512,15872,1604490000
19,2,576.768,-562.176,15910.9,106471.0,25032.5,280965,662.59,583.994,15919.7,326.135,158.138,529.796,-0.0915257,-0.0208102,0.369791,-0.104005,-0.0258749,-0.257743,263.689,123.886,418.755,0,0,0,512,-512,15872,1604490000
20,2,558.336,-554.752,15883.0,110358.0,26313.5,238603,649.605,577.959,15890.5,332.035,162.133,488.226,-0.332868,0.349275,0.104965,-0.0661747,0.0575274,-0.121137,267.152,121.894,383.072,0,0,0,512,-512,15872,1604490000
21,2,587.776,-558.592,15916.0,105906.0,29709.4,249313,671.774,584.555,15923.9,325.27,172.278,499.063,-0.274717,0.545499,0.197041,-0.0465614,0.253632,-0.308567,267.481,131.277,399.524,0,0,0,512,-512,15872,1604490000
22,2,591.872,-550.656,15918.8,110385.0,27696.9,260144,678.666,575.232,15927.0,332.076,166.341,509.788,-0.0360097,0.0161066,-0.0224257,-0.0867448,-0.103163,-0.218342,269.55,124.456,411.844,0,0,0,512,-512,15872,1604490000
23,2,577.536,-562.432,15925.0,108535.0,27302.8,239587,664.812,586.179,15932.5,329.282,165.153,489.231,-0.283947,0.176875,-0.213934,0.0397517,0.12147,-0.187386,268.927,129.182,400.783,0,0,0,512,-512,15872,1604490000
24,2,567.296,-556.544,15949.3,103214.0,26484.9,219555,651.871,579.827,15956.2,321.109,162.661,468.333,-0.0162769,-0.0309854,-0.0663646,-0.108237,0.0234363,-0.233841,257.651,125.049,384.137,0,0,0,512,-512,15872,1604490000
25,2,563.712,-553.472,15942.7,115275.0,25962.2,217786,657.975,576.427,15949.5,339.352,161.047,466.442,-0.13397,0.512129,-0.0951484,-0.0932043,-0.00566765,-0.172238,274.012,119.332,382.343,0,0,0,512,-512,15872,1604490000
26,2,596.992,-552.96,15928.8,103636.0,26398.1,256024,678.183,576.313,15936.9,321.764,162.394,505.736,-0.313275,0.151659,0.161496,0.00903942,0.00488909,-0.336209,267.561,122.02,407.036,0,0,0,512,-512,15872,1604490000
27,2,579.584,-574.72,15938.3,109050.0,27616.6,242458,666.977,598.241,15945.9,330.062,166.099,492.154,-0.217978,0.128334,0.415679,0.0126238,0.0919777,-0.244338,267.219,135.38,393.958,0,0,0,512,-512,15872,1604490000
28,2,568.576,-558.592,15911.2,109565.0,23149.2,252539,657.825,578.922,15919.1,330.841,152.073,502.282,-0.115256,0.0722379,-0.0443406,-0.0459174,0.0510393,-0.351586,267.005,117.129,400.816,0,0,0,512,-512,15872,1604490000
29,2,573.44,-549.376,15893.8,108400.0,27991.2,229722,661.154,574.262,15901.0,329.077,167.222,479.054,-0.274102,0.35424,0.00921303,-0.0270949,0.157867,-0.173751,267.325,123.465,383.391,0,0,0,512,-512,15872,1604490000
30,2,573.44,-555.776,15903.5,107482.0,27143.3,236945,660.46,579.658,15910.9,327.68,164.67,486.526,-0.336617,0.180961,-0.0574527,-0.148521,0.0385448,-0.152912,268.308,125.239,389.05,0,0,0,512,-512,15872,1604490000
31,2,602.624,-561.664,15895.0,104745.0,28101.4,245868,683.956,586.123,15902.8,323.482,167.551,495.603,-0.4179,0.0113229,0.234167,-0.00596771,-0.0334951,-0.280145,268.347,130.97,388.06,0,0,0,512,-512,15872,1604490000
32,2,569.856,-570.112,15933.4,109615.0,25156.3,255872,658.97,591.742,15941.5,330.916,158.528,505.585,-0.263751,0.144352,-0.212915,0.0859159,-0.0343595,-0.332869,266.729,127.135,417.567,0,0,0,512,-512,15872,1604490000
33,2,579.072,-545.024,15923.7,109644.0,27576.2,239787,666.977,569.737,15931.2,330.959,165.978,489.435,-0.167797,0.0484255,-0.0838339,-0.0479791,-0.000639825,-0.200808,269.779,121.447,392.155,0,0,0,512,-512,15872,1604490000
34,2,566.528,-546.304,15896.8,105857.0,27818.0,251621,653.227,571.173,15904.7,325.194,166.704,501.367,-0.187052,0.180877,0.00810896,0.0557262,0.0538576,-0.224454,262.554,122.107,399.707,0,0,0,512,-512,15872,1604490000
35,2,568.576,-546.816,15907.6,107335.0,29225.8,242049,656.13,572.891,15915.2,327.456,170.87,491.739,-0.232815,0.175606,0.478199,0.0580226,0.222901,-0.418815,265.523,126.493,389.123,0,0,0,512,-512,15872,1604490000
36,2,589.824,-557.312,15893.8,106641.0,27006.3,266197,674.112,581.013,15902.1,326.396,164.254,515.684,-0.438215,-0.0436593,0.20369,-0.0466213,0.0876164,-0.379051,271.749,127.047,408.632,0,0,0,512,-512,15872,1604490000
37,1,587.52,-543.232,15884.5,268178.0,1204120.0,628503,783.0,1223.94,15904.3,517.6,1096.78,792.385,10.2945,49.6972,13.4956,-0.25704,-0.319337,0.186028,346.97,310.576,498.853,0,0,0,512,-512,15872,1604490000
38,1,522.24,-225.28,15275.8,4233430.0,56797200.0,45596400,2121.78,7535.99,16700.3,2056.5,7532.62,6749.14,23.3273,8.88531,18.2799,-0.374489,0.494154,-3.14249,839.864,2759.5,2604.58,0,0,0,512,-512,15872,1604490000
39,0,603.648,-545.792,15786.0,7039300.0,92172100.0,20739500,2719.68,9611.34,16429.1,2651.84,9595.83,4551.79,-0.101684,-0.509159,0.703714,0.0129531,0.0365097,0.0304842,2098.88,7837.97,3485.01,0,0,0,512,-384,15616,1604490000
40,0,571.136,-96.512,15663.6,8619110.0,105086000.0,23691700,2989.43,10246.5,16401.7,2934.36,10246.0,4864.98,-0.263455,-0.631549,0.504075,-0.155908,-0.0759009,-0.0375314,2382.0,8427.46,3787.29,0,0,0,768,0,15616,1604490000
41,0,577.536,-54.272,15816.4,6762110.0,100788000.0,18315000,2662.5,10034.4,16384.7,2599.11,10034.3,4277.47,-0.0197016,-0.70473,0.459411,0.0601349,-0.081077,0.254577,2073.53,8321.27,3360.65,0,0,0,512,0,15616,1604490000
42,0,648.192,-448.256,15775.0,9037340.0,99010700.0,18753400,3073.83,9955.53,16358.0,3004.71,9945.44,4328.35,-0.0949878,-0.710935,-0.0392448,0.0478507,-0.0294221,0.147982,2386.37,8241.79,3468.28,0,0,0,768,-768,15616,1604490000
43,0,666.88,-353.536,15748.6,5593910.0,98086100.0,16958100,2456.23,9905.2,16277.6,2363.96,9898.89,4115.96,0.0377316,-0.742745,0.232399,-0.0147791,-0.0584939,-0.0239047,1876.77,8263.99,3228.71,0,0,0,512,0,15616,1604490000
44,0,702.72,-460.544,15760.6,7568720.0,105310000.0,18893800,2838.13,10267.3,16348.5,2749.75,10256.9,4344.52,-0.17555,-0.765178,-0.0544174,0.0106246,-0.00203857,0.194041,2204.84,8549.33,3471.99,0,0,0,768,-640,15360,1604490000
45,0,648.448,-357.376,15631.4,6965380.0,121169000.0,24640600,2716.41,11008.0,16399.9,2637.88,11002.2,4961.45,1.07057,-0.7925,0.685633,0.0871121,-0.0641847,-0.27797,1988.9,9167.02,3808.63,0,0,0,768,0,15872,1604490000
46,0,575.744,-341.248,15843.8,4553600.0,110346000.0,19593000,2209.19,10504.9,16449.9,2132.85,10499.3,4424.18,-0.0191077,-0.885305,0.16609,-0.0405352,-0.0493705,-0.0270193,1692.79,8829.35,3475.0,0,0,0,512,-128,15872,1604490000
47,0,631.808,-364.544,15743.7,5354470.0,129387000.0,24750800,2397.56,11375.0,16510.3,2312.81,11369.2,4972.53,-0.366353,-1.0569,0.455363,0.0114126,-0.00864617,-0.0619099,1859.28,9740.3,3892.74,0,0,0,512,512,15872,1604490000
48,0,592.64,-380.16,15777.5,4567560.0,112886000.0,23192600,2216.8,10626.3,16495.5,2136.12,10619.5,4813.46,-0.16927,-0.873259,0.113552,0.100355,-0.0134027,-0.118268,1723.21,8932.86,3782.22,0,0,0,512,-256,15872,1604490000
49,0,508.928,-228.864,15627.5,8226430.0,109615000.0,22805900,2911.57,10467.0,16340.2,2866.74,10464.5,4773.17,-0.00394592,-0.88504,0.23783,0.0418659,-0.0325062,0.0629249,2264.22,8795.03,3727.13,0,0,0,512,0,15616,1604490000
50,0,660.736,-343.296,15762.2,4175370.0,77192800.0,16425400,2146.57,8788.26,16274.4,2042.35,8781.55,4050.8,-0.321467,-0.443685,0.473856,0.0138671,0.018763,-0.0629134,1649.57,7154.55,3195.58,0,0,0,512,-512,15872,1604490000
51,0,615.168,-387.328,15748.6,9383300.0,122940000.0,26031700,3122.87,11089.1,16553.7,3061.69,11082.3,5099.58,-0.416221,-0.885403,-0.149959,0.0340389,-0.0435171,0.158461,2483.15,9318.13,4060.9,0,0,0,512,-512,15872,1604490000
52,0,597.248,-278.272,15820.5,5865050.0,120604000.0,21291400,2493.17,10980.0,16479.1,2420.58,10976.5,4611.96,-0.28462,-1.04956,0.242339,0.0411988,0.026744,-0.169823,1952.85,9391.72,3616.94,0,0,0,512,0,16128,1604490000
53,1,664.064,-340.736,15833.1,9221300.0,131882000.0,23346600,3106.94,11483.3,16553.2,3035.14,11478.2,4829.42,-0.127604,-1.10138,0.0567788,-0.0250931,-0.0113067,0.0632246,2425.66,9889.19,3849.65,0,0,0,768,-256,15616,1604490000
54,1,578.304,-147.968,15859.5,6824660.0,130865000.0,28851600,2674.37,11434.8,16743.5,2611.1,11433.9,5368.68,-0.0903222,-1.01018,1.63258,-0.182654,-0.0511043,-0.483356,2091.62,9773.62,4074.41,0,0,0,768,256,16128,1604490000
55,1,699.136,-298.752,15729.4,8990350.0,133113000.0,22409200,3077.36,11535.5,16425.6,2996.89,11531.7,4731.46,0.0225519,-1.06211,-0.164878,0.0597107,-0.00463596,0.110938,2372.86,9887.32,3773.73,0,0,0,640,-512,15360,1604490000
