classe,Standardabweichung_y,Variance_z,Variance_y,Standardabweichung_z,Effektivwert_x,Mittlere_Absolute_Abweichung_y,Effektivwert_y,Standardabweichung_x,Mittelwert_x,Variance_x,Mittlere_Absolute_Abweichung_x,Mittlere_Absolute_Abweichung_z
2,163.966,220962,26911.8,469.831,657.526,117.401,571.115,328.477,569.6,108005.0,256.806,350.131
2,171.94,235057,29592.9,484.584,627.592,122.691,571.746,309.81,545.792,96078.5,233.196,363.095
2,156.322,256573,24460.9,506.277,651.77,111.817,566.507,324.498,565.248,105404.0,261.509,395.262
2,174.714,241982,30555.6,491.67,653.578,123.62,568.931,325.453,566.784,106026.0,262.385,389.71
2,162.434,268509,26411.1,517.919,661.006,128.562,586.402,339.697,567.04,115510.0,278.083,414.196
2,155.809,239210,24300.9,488.846,677.361,117.838,575.232,328.941,592.128,108310.0,273.231,384.819
2,164.774,254025,27177.7,503.757,646.115,122.937,575.516,329.079,556.032,108401.0,261.184,403.884
2,163.208,246906,26663.4,496.648,659.219,123.316,578.016,309.799,581.888,96071.6,251.987,396.728
2,158.789,230041,25239.3,479.386,653.327,126.857,587.128,311.643,574.208,97218.4,253.228,381.891
2,161.016,229656,25952.0,478.984,635.427,123.423,580.844,317.089,550.656,100646.0,254.366,380.258
2,158.514,252368,25151.9,502.111,681.893,121.303,581.633,338.175,592.128,114477.0,279.531,389.079
2,160.976,223642,25939.1,472.672,662.194,124.185,582.309,340.301,568.064,115921.0,281.752,369.449
2,157.213,252890,24740.7,502.631,668.057,121.999,582.759,321.283,585.728,103326.0,264.569,393.37
2,162.37,250220,26390.5,499.97,666.977,122.11,574.833,336.277,576.0,113196.0,271.744,396.792
2,159.501,245090,25466.0,494.818,655.08,125.179,584.611,338.84,560.64,114927.0,273.485,402.422
2,163.679,249358,26817.7,499.108,689.634,127.278,586.011,334.859,602.88,112243.0,275.981,399.355
2,165.665,244897,27472.3,494.624,669.674,129.147,583.377,320.439,588.032,102784.0,266.596,393.958
2,162.803,252522,26531.3,502.264,658.672,123.315,577.165,331.203,569.344,109806.0,270.18,401.316
2,158.138,280965,25032.5,529.796,662.59,123.886,583.994,326.135,576.768,106471.0,263.689,418.755
