MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
-0.36301038,0.28438547,-0.85436034,-0.56524366,-0.8287703,0.20648167,-0.4749409,0.69326276
-0.22598238,-0.054307707,-0.4626912,-0.9616613,-0.016457058,-0.1618873,-0.5888313,0.5383597
-0.023403523,0.7094546,-0.7461301,-0.4786818,-0.6793221,0.14362599,-0.42500603,1.3157653
0.24127337,0.39196005,-0.5612412,0.1370483,0.25692812,-0.64387786,-0.15807241,0.41935444
0.898096,0.5117458,-0.61430687,0.1677888,-0.7232611,-0.58740735,-0.42345914,0.8503809
-0.07528421,-0.23106761,-1.124324,-0.38083652,-0.10473887,-0.5799972,-0.77567464,0.518527
0.3039876,0.34924293,-0.479456,0.10875775,-0.4171003,-0.66386664,-1.1644316,0.376804
-0.060565714,0.3237757,-0.25299722,0.22764592,-0.5324227,-0.6168022,-0.502853,0.11086026
-0.6825176,0.0424945,-0.8199714,-1.0725856,0.64496547,0.03770683,0.48526806,0.61432314
0.46703273,0.96823,0.34998775,-0.38595465,-0.76781046,0.34705037,-0.24665456,1.5399224
1.0601988,0.32836378,0.041502923,0.696764,-0.7479075,0.45730743,-0.26198658,0.930647
0.19880031,0.0011338796,-0.13260587,-0.21343149,0.29503012,0.56288266,-0.101889014,0.30251682
-0.33071098,-0.12717696,-0.41105795,-0.61033106,-0.4518198,-0.22945191,0.11051613,0.4842285
-0.11709201,1.178317,-0.5584302,-1.1618108,-1.2266768,-0.06801643,-0.95364,1.0966918
0.71918464,0.5856727,-0.04737462,0.032391444,-1.2749404,0.09149465,-0.96946156,0.9204173
0.83151555,1.45407,-0.2369679,0.4102349,-1.636145,-1.1325094,-1.7603928,1.7451315
0.51352686,1.717339,-0.27500015,-0.24752586,-2.9241688,0.48924586,-1.6459177,2.1810753
-0.058950994,0.9676954,-0.3395211,-0.20245305,-1.0201267,-0.72343874,-0.9531591,1.3887743
0.29838732,1.9539204,0.40449762,-1.112742,-0.67372936,0.68424034,-0.29819375,2.2171836
-0.97886425,-0.49063152,-0.6114107,-1.2695394,1.1072524,0.8366755,0.464287,0.35544622
0.43951407,0.6996569,-0.44469,-0.07364167,-0.5545124,-0.47716054,-0.16437401,1.1232736
0.41651538,0.5176219,-0.38403147,-0.44659343,-0.7900709,-0.34143656,-0.49878109,1.2026848
-0.47954202,1.517791,-0.5965703,-1.0033678,-2.6471922,0.47951993,-1.2340372,1.7894056
0.26377276,-0.02342655,-1.2117728,-0.025260909,-0.3364767,0.3426435,-0.3496516,0.118925706
-0.6017282,0.20262222,-1.0027384,-1.4102902,-2.0488262,0.49377605,-0.9770271,1.1577333
-0.02923453,1.44239,0.10954793,-0.81604624,0.9384782,-0.273377,-0.19715708,0.89637864
0.029181479,0.44420737,-0.70290405,0.00049001887,-0.8855166,0.025813857,-0.7248471,0.815901
-0.058812235,0.50444156,-0.53898203,-0.95108765,-1.5669221,0.22430016,-1.033536,1.7166135
-0.5693736,0.076913066,-1.0063391,-0.89644796,-0.52654856,0.15921055,-0.9907071,0.57878536
-0.29989752,0.90638816,0.30584323,-0.5032157,0.11081038,0.31266198,-0.3597837,0.6384467
-0.4737101,0.9032156,-0.6023748,-0.44713178,-0.42655566,0.41466397,-0.6697508,1.3912748
0.007778139,1.0524426,-0.5323414,-0.05486794,-2.0691717,-0.4327114,-2.2326996,1.455672
0.405366,1.196547,-0.5112396,-0.28960142,-0.4425066,-0.37516108,-0.67191374,0.4549206
-0.37748495,0.83924603,-0.4568295,-0.8481728,-0.8265333,-0.2586315,-0.7590486,1.5378238
-0.45187318,0.094530754,-0.85856336,0.19935651,0.19914463,-1.1165062,-0.51696616,-0.19036351
-0.021175953,0.44948766,-0.5794268,-0.4474804,-1.4268295,-0.19639428,-1.4493786,0.89211977
0.07843566,0.82915413,0.28874743,-0.1426082,-0.0072310194,-0.34832177,-0.56533,0.74453235
0.35583618,0.92206377,-0.07786554,-0.43019974,-0.3730794,-0.380183,0.1563211,1.0362655
-0.3240629,0.29230955,-1.3692375,-0.81111443,-1.248613,0.1540697,-0.47197086,0.31457984
0.37324932,0.6444956,-1.0655967,-0.18796082,-1.1200676,-0.061451353,-1.2858903,0.82392037
