sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),class
5.5003066,3.3587103,3.528796,0.88618004,0
4.5779886,3.570859,0.4260671,-0.61439335,0
4.6404486,3.2819328,1.1629934,-0.049778514,0
4.059219,3.1193066,0.4445386,-0.22303718,0
4.491197,3.7450166,1.37113,0.099492505,0
4.974993,3.4424345,1.8922356,0.5274371,0
5.2025237,2.8751438,2.2505677,0.3623881,0
5.2322507,3.3105059,1.3014168,0.26902917,0
5.3545794,3.1472151,1.8717961,0.43704486,0
5.0730524,3.0482566,1.4893317,0.3940274,0
5.290001,3.498242,1.4306307,0.4976601,0
6.00375,3.5850782,1.9178509,0.4983899,0
5.204075,3.1598198,1.9577925,-0.037892323,0
4.774965,3.5351477,1.6711131,0.5223994,0
4.8548746,3.6708708,1.41543,0.47431886,0
4.2628984,3.5856605,0.35041124,-0.17508411,0
5.2225685,3.1014795,1.5254637,0.11475332,0
4.580715,2.90024,1.4127157,0.37918782,0
5.5008574,3.7007842,1.1937702,0.20700386,0
4.459818,3.35528,0.7640378,0.206061,0
4.879989,3.206391,1.1769453,-0.120889455,0
4.732402,3.442223,1.393625,0.27742514,0
5.698151,3.1617851,1.918952,0.2151831,0
6.2792273,3.7316155,1.6253469,0.69912696,0
5.4913836,3.0679545,1.3750341,0.17097351,0
5.040448,3.713986,1.3580489,0.59897614,0
5.028299,3.3688514,2.1965084,0.19232866,0
5.7464046,4.011229,1.9975841,0.72373545,0
5.015733,3.6164389,2.252508,0.52688986,0
5.1930966,3.5236285,2.1951675,0.54120135,0
4.718206,3.583913,1.4108887,0.22031796,0
5.5078487,3.5665793,2.1502173,0.5588341,0
4.510098,3.6772523,0.51844746,0.05257603,0
5.5702577,3.6794033,1.9122754,0.57898694,0
5.2102723,3.569498,1.8042824,0.3645755,0
4.8063025,3.4259572,1.1170024,0.011242386,0
4.95663,3.4908614,1.4923551,0.0548124,0
5.849997,3.8689215,1.8806548,0.604077,0
4.673668,3.1806738,0.36654568,0.21367781,0
5.093396,3.688755,1.0353298,0.0926238,0
4.7715282,3.7072437,1.169856,0.2734583,0
4.795606,3.0545993,1.5534123,0.33319718,0
5.1139483,3.3899276,1.384066,-0.058268465,0
5.249901,3.7409964,1.2662535,0.37063798,0
5.406847,3.40034,2.1662054,0.21849568,0
5.345353,3.105743,1.327981,0.01051,0
4.911856,3.7715433,1.9875637,0.7010594,0
6.178381,2.8839035,2.865708,0.568844,0
5.9638367,3.7254207,1.9415057,0.54317015,0
5.3852506,3.6312516,1.2292862,0.27399796,0
6.4944596,2.948138,5.1129804,1.2911689,1
6.0270996,2.7794693,4.3733144,1.1876125,1
5.598635,2.642338,3.9646182,1.093069,1
6.4045362,2.6242378,4.2654114,1.2946961,1
6.1452737,3.0243769,3.9258585,1.6484727,1
5.76459,3.028562,4.216641,1.6703018,1
6.2618794,3.2081494,3.8030822,1.5021578,1
6.1491694,2.558092,4.223507,1.1957048,1
5.386347,2.4519362,3.3582335,1.160667,1
6.034008,2.549774,4.1189775,1.3838583,1
6.243473,2.4501028,4.8604746,1.7479765,1
5.676466,2.9085107,4.47261,1.5147374,1
5.9714794,2.983477,5.3111806,2.0296113,1
5.8368883,2.42297,4.926779,2.0168295,1
6.5960355,3.028552,4.787673,1.4302108,1
5.909763,2.6689076,4.303838,1.6423893,1
5.837053,2.5354133,4.366657,1.1985883,1
5.9656405,2.4948583,4.115877,1.1960044,1
7.0607095,2.838202,5.741526,1.8523585,1
5.6338396,2.4403443,4.105698,1.11671,1
4.739401,2.4622953,2.8594787,0.97615373,1
6.4912186,2.6413124,5.458782,1.3780595,1
5.6294494,3.0184588,3.7838361,1.4916952,1
5.1081314,2.6481643,3.8511047,0.857515,1
5.3916907,2.7051024,3.2912226,0.8133163,1
5.7404885,2.9942117,3.3293805,0.97654265,1
6.42203,2.9754457,4.9448876,1.4724818,1
6.155087,2.8150208,4.6296506,1.493293,1
6.462607,3.2156236,4.6849475,1.4975486,1
5.6212144,2.4171622,3.8442836,1.1297855,1
5.967558,3.1166039,4.135055,1.22789,1
6.163408,2.8469055,5.742716,1.6914392,1
5.9065275,2.7901099,3.8437457,1.3593005,1
5.2039986,2.443924,3.3288808,1.1090744,1
5.685015,2.8274198,4.643003,1.190239,1
5.0794506,2.567061,3.5209687,1.3235581,1
5.450371,2.970649,3.521437,1.2644253,1
6.1024656,2.6709504,4.7307725,1.3669752,1
5.938728,3.007871,5.502715,1.750295,1
6.083252,2.7614677,4.876824,1.8188161,1
6.6408515,2.215709,5.280724,1.6146233,1
5.6874146,2.3027968,4.0520387,1.272373,1
6.4372306,3.1134572,4.329893,1.3440473,1
6.4457726,2.945747,3.9590976,1.4595664,1
