,ph,Temperature,Humidity,Density,Electrical Conductivity,N,P,K,Ca,Mg,Particle Width,Particle Spacing,Cotton Crop,Grain Surface
0,0.5927297,0.3806295,0.58217484,0.4932755,0.5893052,0.6109066,0.6736249,0.30527037,0.3541724,0.33924052,0,0,1,2
1,0.59501976,0.38001835,0.5825704,0.49379992,0.59114844,0.61237365,0.6740338,0.30954483,0.35651857,0.34165668,0,0,1,2
2,0.5972523,0.37927517,0.5828948,0.49442905,0.5929446,0.6138457,0.6743992,0.313799,0.35887185,0.34405392,0,0,1,2
3,0.59978926,0.37879145,0.58318007,0.49506846,0.59476477,0.61534,0.67476434,0.3177433,0.36133972,0.34626722,0,0,1,2
4,0.6023198,0.3784345,0.58341604,0.49568218,0.5966029,0.6167571,0.67515707,0.32135567,0.36399695,0.34840402,0,0,1,2
5,0.6046305,0.3779927,0.5834686,0.49633282,0.59850466,0.6180321,0.6754641,0.32486907,0.36681944,0.35043502,0,0,1,2
6,0.60669315,0.37739602,0.5833193,0.4969547,0.6002665,0.6192974,0.675882,0.32823038,0.36959022,0.35233456,0,0,1,2
7,0.6086842,0.37684214,0.5830507,0.49750012,0.60204643,0.6205673,0.67629266,0.33133143,0.3725367,0.3541799,0,0,1,2
8,0.6106274,0.37630463,0.58272266,0.49797246,0.6039635,0.6218786,0.6765637,0.33409128,0.37542883,0.3558777,0,0,1,2
9,0.6125305,0.3757826,0.5823985,0.49849617,0.60578245,0.62310636,0.6767802,0.33703884,0.37842005,0.35749993,0,0,1,2
10,0.6144015,0.3752589,0.5820572,0.49921697,0.607515,0.62429726,0.6768167,0.3399792,0.38145414,0.35897723,0,0,1,2
11,0.61622125,0.37474254,0.58166367,0.5002558,0.60879534,0.62539756,0.67683285,0.3429653,0.38451886,0.3603667,0,0,1,2
12,0.6180221,0.374175,0.58131385,0.5011729,0.610162,0.62631476,0.67692816,0.34610242,0.38749945,0.3617315,0,0,1,2
13,0.61983323,0.3735465,0.58095,0.5020683,0.6116249,0.62708855,0.67707986,0.34916386,0.39036283,0.3628535,0,0,1,2
14,0.62170833,0.37284926,0.58060026,0.5029503,0.6130878,0.62794477,0.6772461,0.35232222,0.39307675,0.363889,0,0,1,2
15,0.6235227,0.3721599,0.58024704,0.50379765,0.61445105,0.6287562,0.6773922,0.35556602,0.3959103,0.36494365,0,0,1,2
16,0.62533677,0.37147045,0.57984513,0.50450474,0.615825,0.62962407,0.6774559,0.35885283,0.39881185,0.3659971,0,0,1,2
17,0.62715435,0.3709573,0.57923114,0.50512856,0.6170337,0.6306746,0.67759556,0.3621382,0.4016258,0.3669998,0,0,1,2
18,0.6289741,0.37084287,0.578348,0.5057234,0.61823046,0.6317215,0.6780213,0.365212,0.4045101,0.36779755,0,0,1,2
19,0.6307832,0.37074554,0.5774238,0.5063663,0.61944175,0.6327522,0.6784856,0.36825973,0.40739134,0.36859247,0,0,1,2
20,0.63259244,0.37063238,0.57655406,0.5070628,0.6206647,0.6337153,0.6790754,0.371287,0.41024107,0.369372,0,0,1,2
21,0.63440144,0.37047562,0.5759819,0.50827134,0.6218788,0.63467777,0.6796782,0.37430704,0.41283172,0.37015042,0,0,1,2
22,0.6362104,0.37031865,0.57543266,0.50960326,0.62300515,0.63563377,0.680308,0.3777862,0.41519234,0.3710126,0,0,1,2
23,0.6379605,0.37011698,0.5749036,0.51088834,0.62418985,0.63652533,0.68099755,0.38135585,0.417591,0.37186068,0,0,1,2
24,0.63967025,0.3698391,0.5744411,0.51212007,0.62533104,0.6373776,0.68175334,0.3849752,0.41991046,0.37264854,0,0,1,2
25,0.6414547,0.3695076,0.5739857,0.5133748,0.6264997,0.63814527,0.682599,0.38860676,0.42214447,0.3734669,0,0,1,2
26,0.64325786,0.36882934,0.5733644,0.51467896,0.6276215,0.63886577,0.68346655,0.39234704,0.42399284,0.37432423,0,0,1,2
27,0.64515424,0.36768582,0.57259756,0.5159652,0.62872094,0.63929105,0.6843018,0.39621618,0.42519698,0.37513754,0,0,1,2
28,0.647085,0.36647543,0.571753,0.51723665,0.62995386,0.63957196,0.68517387,0.4001132,0.42651108,0.3762509,0,0,1,2
29,0.64896035,0.3653346,0.5711922,0.51840746,0.6309956,0.63985026,0.68612826,0.40391707,0.42805916,0.37732264,0,0,1,2
30,0.65063924,0.36438763,0.5707238,0.51962477,0.63175833,0.6401815,0.6870384,0.40748513,0.4296187,0.37842017,0,0,1,2
31,0.6522509,0.36348987,0.56999856,0.52108836,0.6326708,0.64059204,0.6875244,0.41096333,0.43138233,0.37953338,0,0,1,2
32,0.6538361,0.36248228,0.569211,0.52276814,0.6335847,0.6410295,0.6880296,0.41445222,0.43316916,0.38064313,0,0,1,2
33,0.6554351,0.36128226,0.5684179,0.52461046,0.63450277,0.6409998,0.6886549,0.4179074,0.43474376,0.38167226,0,0,1,2
34,0.657045,0.3601296,0.5675796,0.52650875,0.63544565,0.6408747,0.6891554,0.4213268,0.4362114,0.3829823,0,0,1,2
35,0.6585705,0.35894737,0.5667047,0.5283457,0.63615465,0.64065063,0.68965834,0.42470226,0.43772072,0.38410568,0,0,1,2
36,0.6600709,0.35788438,0.5659675,0.5301679,0.6366678,0.64027697,0.6902583,0.4279593,0.4393378,0.38529858,0,0,1,2
37,0.6615323,0.35683355,0.5653074,0.5319993,0.6371574,0.63991797,0.6908592,0.43117666,0.44098842,0.3864359,0,0,1,2
38,0.6629711,0.35575408,0.56466687,0.5337892,0.63757026,0.6395872,0.6915888,0.43441293,0.44269067,0.38748512,0,0,1,2
39,0.6641165,0.35469568,0.5641824,0.5352935,0.6378695,0.63916045,0.69226927,0.43787485,0.44437024,0.38830855,0,0,1,2
40,0.66523725,0.35358948,0.56372017,0.5367124,0.6381108,0.6386675,0.6928961,0.44140556,0.4458409,0.38906202,0,0,1,2
41,0.66635996,0.3526218,0.5631352,0.53804016,0.6383272,0.6381055,0.693574,0.44495574,0.44734204,0.389776,0,0,1,2
42,0.6674805,0.35154638,0.5626407,0.5393283,0.6384475,0.63740414,0.69433856,0.44824275,0.44867903,0.39020604,0,0,1,2
43,0.66866624,0.35018224,0.56224054,0.54081345,0.6383868,0.6367643,0.6950997,0.4514146,0.4501413,0.3905955,0,0,1,2
44,0.669878,0.34874195,0.56194043,0.5420981,0.6382498,0.6360401,0.69580567,0.45454982,0.45153984,0.39072555,0,0,1,2
45,0.6710901,0.3473159,0.56163806,0.5435518,0.63792664,0.6352637,0.6965319,0.4578677,0.45275006,0.39081448,0,0,1,2
46,0.67230856,0.34581637,0.5613575,0.5454087,0.6375199,0.6344355,0.697259,0.4611983,0.45395577,0.39090344,0,0,1,2
47,0.67352635,0.34431705,0.5615241,0.54701537,0.6369995,0.63359964,0.6979741,0.46456218,0.45511878,0.3910519,0,0,1,2
48,0.6747446,0.34283245,0.56165516,0.54894835,0.6362074,0.63268715,0.6987484,0.4679913,0.4561657,0.39126953,0,0,1,2
49,0.67598397,0.34134457,0.5616001,0.5508136,0.6354421,0.6317687,0.6994517,0.4714779,0.45725346,0.3914544,0,0,1,2
50,0.6772207,0.3398595,0.56134874,0.5526927,0.6348566,0.6305628,0.70010597,0.4749404,0.45836553,0.39163738,0,0,1,2
51,0.6780872,0.3382507,0.56108975,0.5543697,0.63426816,0.62929666,0.70076144,0.47834522,0.45947447,0.3918034,0,0,1,2
52,0.6787357,0.33645797,0.56077486,0.555866,0.6336706,0.62794286,0.70126563,0.48169738,0.46047574,0.39178553,0,0,1,2
53,0.6793793,0.33467072,0.5604572,0.5573623,0.6331484,0.62646073,0.7016938,0.4853186,0.46132037,0.3916859,0,0,1,2
54,0.6800224,0.33294192,0.5600495,0.5588571,0.6325926,0.6249596,0.70211226,0.48900414,0.46203285,0.39159286,0,0,1,2
55,0.6805652,0.3310754,0.55981207,0.5603865,0.6318591,0.62344056,0.7025582,0.49269873,0.46252012,0.39151597,0,0,1,2
56,0.6811031,0.3291927,0.5593599,0.5616494,0.6310512,0.62191904,0.70289075,0.4963475,0.4629114,0.39140162,0,0,1,2
57,0.68165064,0.32739753,0.55891085,0.5628863,0.63023627,0.62042165,0.70323104,0.5003027,0.46308675,0.3912782,0,0,1,2
58,0.68229795,0.32566965,0.55839425,0.5639543,0.629492,0.61880034,0.70375997,0.5043387,0.4632946,0.39107245,0,0,1,2
59,0.68294203,0.3238174,0.55783504,0.564899,0.6287196,0.61721516,0.7043714,0.50844157,0.4633803,0.3907169,0,0,1,2
60,0.6834765,0.32184875,0.55721825,0.56581527,0.6281374,0.61537796,0.7050384,0.51233774,0.4633621,0.3903176,0,0,1,2
61,0.68398434,0.31984323,0.55661386,0.56672835,0.62748986,0.613428,0.7056835,0.51596606,0.4627913,0.3895967,0,0,1,2
62,0.6844671,0.31775093,0.5561414,0.56778276,0.6268421,0.61154675,0.7063586,0.51969033,0.46192452,0.38858882,0,0,1,2
63,0.68503773,0.31553632,0.5556239,0.5691271,0.62631816,0.60962313,0.70701575,0.5234494,0.46075177,0.38766512,0,0,1,2
64,0.6856493,0.31325832,0.5549929,0.5705143,0.6258434,0.607478,0.7075859,0.52732396,0.45942056,0.38676965,0,0,1,2
65,0.6862566,0.31096312,0.55468583,0.5725692,0.62535256,0.6052411,0.7082419,0.5312723,0.4578377,0.38590756,0,0,1,2
66,0.6870404,0.3083934,0.5544563,0.574727,0.6249529,0.60290724,0.70899475,0.535166,0.4562468,0.38491458,0,0,1,2
67,0.6875907,0.30567583,0.55431944,0.5768057,0.6245306,0.60065645,0.7098417,0.5389859,0.45486534,0.383575,0,0,1,2
68,0.6881728,0.3030996,0.55412245,0.57887805,0.6240797,0.5984528,0.71071434,0.54272157,0.45352358,0.38229135,0,0,1,2
69,0.68876064,0.3005292,0.55383664,0.58094347,0.62355506,0.59631044,0.71161264,0.5461992,0.4521648,0.38122234,0,0,1,2
70,0.68935215,0.29791233,0.55357033,0.58299863,0.62285036,0.59404635,0.7126742,0.5495347,0.45054436,0.38025707,0,0,1,2
71,0.6899638,0.2952515,0.5533388,0.5849831,0.6220907,0.5917663,0.71388555,0.552906,0.44882977,0.3793515,0,0,1,2
72,0.6904718,0.29260442,0.5530991,0.58684635,0.62140113,0.58951294,0.7150268,0.556259,0.447127,0.3784237,0,0,1,2
73,0.690957,0.28998235,0.5528069,0.5885864,0.6207169,0.5873416,0.7161111,0.5596121,0.44558254,0.37716886,0,0,1,2
74,0.6913118,0.28726077,0.5524962,0.5902589,0.61995846,0.5851776,0.7171841,0.5630541,0.44389722,0.37586635,0,0,1,2
75,0.691794,0.2844753,0.5521854,0.5919313,0.61916417,0.5829822,0.71809953,0.5665089,0.4422595,0.37456828,0,0,1,2
76,0.6922664,0.2816701,0.55186117,0.5936274,0.61856717,0.5805707,0.71893376,0.5700146,0.44060123,0.37327707,0,0,1,2
77,0.69272745,0.27893776,0.5514195,0.59536177,0.6179277,0.5780584,0.71968627,0.57355785,0.43887845,0.3719933,0,0,1,2
78,0.6931883,0.27627733,0.550944,0.5970938,0.6173255,0.5755145,0.72043186,0.57707965,0.43711823,0.37073255,0,0,1,2
79,0.6936364,0.27380115,0.5503011,0.5988442,0.61701393,0.57288927,0.7210781,0.5806301,0.43533573,0.36948603,0,0,1,2
80,0.69406563,0.271338,0.54960006,0.600428,0.6168609,0.5703109,0.7215182,0.58424276,0.4335081,0.36824912,0,0,1,2
81,0.6942805,0.26874542,0.54842925,0.60206693,0.6166648,0.56786597,0.721815,0.5878569,0.4316697,0.36701295,0,0,1,2
82,0.69442374,0.2660133,0.5468833,0.60374725,0.6165605,0.5651969,0.7220561,0.5914191,0.43008775,0.36587188,0,0,1,2
83,0.6941159,0.2635009,0.54497015,0.6055783,0.6167004,0.56217855,0.72219574,0.594885,0.4291406,0.36494708,0,0,1,2
84,0.69371426,0.26102766,0.54304534,0.60739213,0.61684024,0.5591602,0.72232765,0.5982983,0.42817608,0.36404556,0,0,1,2
85,0.6932693,0.2585744,0.54110706,0.6091776,0.6169892,0.55614173,0.7224195,0.60158265,0.42698434,0.36326066,0,0,1,2
86,0.6928773,0.25606015,0.5391751,0.6109783,0.61716914,0.55312294,0.72250956,0.6046906,0.4256541,0.3625037,0,0,1,2
87,0.69253445,0.25347036,0.53724277,0.6128178,0.61738676,0.5502971,0.72229487,0.60781074,0.42423263,0.361384,0,0,1,2
88,0.69219226,0.25087622,0.5352693,0.6145912,0.6175891,0.5474248,0.7220143,0.61091924,0.42259127,0.36018312,0,0,1,2
